SKU,Brand,Raw_Description,Category,Price
SKU-1001,3 M,"3/4 CPLG BRS 150# <p>Pipe fitting</p>",,14.50
SKU-1002,-- Unbranded --,"1/2 IN BALL VALV BRS FNPT 600 WOG",,22.80
SKU-1003,DEWALT,"20V MAX CORDLESS DRILL 1/2 IN CHUCK BL MOTOR",Power Tools,129.00
SKU-1004,Milwaukee Electric,"M18 FUEL 1/2 IN IMPACT WRENCH 1400 FT-LBS",,249.00
SKU-1005,3M INC,"2 IN FLG SS 316 150 LB ANSI B16.5",,89.20
SKU-1006,Frigidaire Pro,"Dishwasher SS Display 24 In Built-In Tall Tub",Appliances,649.00
SKU-1007,Square D,"20A 1-POLE CIRCUIT BREAKER 120V QO120",,11.50
SKU-1008,Parker Hannifin,"1/4 IN OD TUBE X 1/4 IN NPT MALE COMPRESSION ELBOW BRASS",,8.75
SKU-1009,Klein,"1000V INSULATED HIGH-LEVERAGE SIDE-CUTTING PLIERS 9-INCH",Hand Tools,45.00
SKU-1010,N/A,"SCH 40 PVC TEE 1-1/2 IN SLIP X SLIP X SLIP",,3.25
